数据挖掘算法工程师,北京-海淀区,20-40k,5-10年,本科,北京金安创世科技有限公司,云计算/大数据,50-99人,,https://www.liepin.com/job/1961720547.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_61720547%3A1%3Af1f6b722-eb2b-4291-b3d4-4e2386fa0dd2&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=3&skId=f9o62b7dtrf4r523isa8sxiknez0drtb&fkId=f9o62b7dtrf4r523isa8sxiknez0drtb&ckId=f9o62b7dtrf4r523isa8sxiknez0drtb&sfrom=search_job_pc&curPage=0&pageSize=40&index=3
数据挖掘专家,北京-朝阳区,25-50k·16薪,5-10年,硕士,阿里巴巴(北京)软件服务有限公司,计算机软件,融资未公开,10000人以上,https://www.liepin.com/job/1928145293.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_28145293%3A1%3Af1f6b722-eb2b-4291-b3d4-4e2386fa0dd2&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=4&skId=f9o62b7dtrf4r523isa8sxiknez0drtb&fkId=f9o62b7dtrf4r523isa8sxiknez0drtb&ckId=f9o62b7dtrf4r523isa8sxiknez0drtb&sfrom=search_job_pc&curPage=0&pageSize=40&index=4
数据挖掘,北京-石景山区,18-35k·15薪,3-5年,硕士,某北京银行上市公司,银行,已上市,10000人以上,https://www.liepin.com/a/52118477.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_52118477%3A1%3Af1f6b722-eb2b-4291-b3d4-4e2386fa0dd2&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=5&skId=f9o62b7dtrf4r523isa8sxiknez0drtb&fkId=f9o62b7dtrf4r523isa8sxiknez0drtb&ckId=f9o62b7dtrf4r523isa8sxiknez0drtb&sfrom=search_job_pc&curPage=0&pageSize=40&index=5
数据挖掘-国企直签,北京-石景山区,20-40k·16薪,3-5年,硕士,某北京银行公司,银行,融资未公开,100-499人,https://www.liepin.com/a/51654351.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_51654351%3A1%3Af1f6b722-eb2b-4291-b3d4-4e2386fa0dd2&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=6&skId=f9o62b7dtrf4r523isa8sxiknez0drtb&fkId=f9o62b7dtrf4r523isa8sxiknez0drtb&ckId=f9o62b7dtrf4r523isa8sxiknez0drtb&sfrom=search_job_pc&curPage=0&pageSize=40&index=6
数据挖掘,北京,20-30k,3-5年,硕士,某北京银行上市公司,银行,已上市,10000人以上,https://www.liepin.com/a/51925881.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_51925881%3A1%3Af1f6b722-eb2b-4291-b3d4-4e2386fa0dd2&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=7&skId=f9o62b7dtrf4r523isa8sxiknez0drtb&fkId=f9o62b7dtrf4r523isa8sxiknez0drtb&ckId=f9o62b7dtrf4r523isa8sxiknez0drtb&sfrom=search_job_pc&curPage=0&pageSize=40&index=7
【银行正编】数据挖掘工程师岗！双休不加班,北京,20-40k,经验不限,硕士,某北京大型银行公司,银行,已上市,10000人以上,https://www.liepin.com/a/51840281.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_51840281%3A1%3Af1f6b722-eb2b-4291-b3d4-4e2386fa0dd2&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=8&skId=f9o62b7dtrf4r523isa8sxiknez0drtb&fkId=f9o62b7dtrf4r523isa8sxiknez0drtb&ckId=f9o62b7dtrf4r523isa8sxiknez0drtb&sfrom=search_job_pc&curPage=0&pageSize=40&index=8
数据挖掘,北京-石景山区,16-30k·15薪,3-5年,硕士,某北京银行上市公司,银行,已上市,10000人以上,https://www.liepin.com/a/51803407.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_51803407%3A1%3Af1f6b722-eb2b-4291-b3d4-4e2386fa0dd2&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=9&skId=f9o62b7dtrf4r523isa8sxiknez0drtb&fkId=f9o62b7dtrf4r523isa8sxiknez0drtb&ckId=f9o62b7dtrf4r523isa8sxiknez0drtb&sfrom=search_job_pc&curPage=0&pageSize=40&index=9
中粮可口可乐-总部-数据挖掘与AI算法岗,北京-东城区,15-25k·15薪,1-3年,统招本科,中粮可口可乐饮料(中国)投资有限公司,食品/饮料/酒水,10000人以上,,https://www.liepin.com/job/1963655957.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_63655957%3A1%3Af1f6b722-eb2b-4291-b3d4-4e2386fa0dd2&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=10&skId=f9o62b7dtrf4r523isa8sxiknez0drtb&fkId=f9o62b7dtrf4r523isa8sxiknez0drtb&ckId=f9o62b7dtrf4r523isa8sxiknez0drtb&sfrom=search_job_pc&curPage=0&pageSize=40&index=10
数据挖掘工程师/数据分析师,北京-顺义区,20-30k,3-5年,统招本科,索信达,云计算/大数据,港股上市,500-999人,https://www.liepin.com/job/1962402181.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_62402181%3A1%3Af1f6b722-eb2b-4291-b3d4-4e2386fa0dd2&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=11&skId=f9o62b7dtrf4r523isa8sxiknez0drtb&fkId=f9o62b7dtrf4r523isa8sxiknez0drtb&ckId=f9o62b7dtrf4r523isa8sxiknez0drtb&sfrom=search_job_pc&curPage=0&pageSize=40&index=11
数据挖掘工程师,北京-海淀区,25-40k,经验不限,硕士,某知名公司,,,,https://www.liepin.com/a/49519435.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_49519435%3A1%3Af1f6b722-eb2b-4291-b3d4-4e2386fa0dd2&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=12&skId=f9o62b7dtrf4r523isa8sxiknez0drtb&fkId=f9o62b7dtrf4r523isa8sxiknez0drtb&ckId=f9o62b7dtrf4r523isa8sxiknez0drtb&sfrom=search_job_pc&curPage=0&pageSize=40&index=12
